scientific_name,family,establishment_means,year,record type,category,latitude,longitude
Acacia pycnantha,Fabaceae,introduced,1956,voucher,long unseen,-34.07,151.02
Anredera cordifolia,Basellaceae,introduced,1975,voucher,long unseen,-34.15,151.033333
Arctotheca populifolia,Asteraceae,introduced,1971,voucher,long unseen,-34.113755,151.13952
Asparagus setaceus,Asparagaceae,introduced,1983,voucher,long unseen,-34.081667,151.167778
Axonopus fissifolius,Poaceae,introduced,1958,voucher,long unseen,-34.07,151.05
Callitriche stagnalis,Plantaginaceae,introduced,1975,voucher,long unseen,-34.148424,151.034496
Cenchrus clandestinus,Poaceae,introduced,1937,voucher,long unseen,-34.07,151.02
Crassocephalum crepidioides,Asteraceae,introduced,1977,voucher,long unseen,-34.2,151.02
Cynodon dactylon,Poaceae,introduced,1983,voucher,long unseen,-34.081667,151.167778
Digitaria ciliaris,Poaceae,introduced,1978,voucher,long unseen,-34.2,151.02
Digitaria didactyla,Poaceae,introduced,1973,voucher,long unseen,-34.115,151.134444
Digitaria ischaemum,Poaceae,introduced,1973,voucher,long unseen,-34.07,151.05
Echinochloa crus-galli,Poaceae,introduced,1930,voucher,long unseen,-34.07,151.07
Egeria densa,Hydrocharitaceae,introduced,1973,voucher,long unseen,-34.08,151.05
Eleocharis minuta,Cyperaceae,introduced,1976,voucher,long unseen,-34.08,151.17
Eragrostis cilianensis,Poaceae,introduced,1928,voucher,long unseen,-34.0667,151.0167
Eragrostis tenuifolia,Poaceae,introduced,1981,voucher,long unseen,-34.083423,151.135834
Erechtites valerianifolius,Asteraceae,introduced,1984,voucher,long unseen,-34.2,151.02
Erigeron sumatrensis,Asteraceae,introduced,1983,voucher,long unseen,-34.081667,151.167778
Gamochaeta americana,Asteraceae,introduced,1978,voucher,long unseen,-34.2,151.03
Grevillea banksii,Proteaceae,introduced,1975,voucher,long unseen,-34.1,151.1
Isolepis levynsiana,Cyperaceae,introduced,1986,voucher,long unseen,-34.1417,151.07
Isolepis prolifera,Cyperaceae,introduced,1975,voucher,long unseen,-34.08,151.05
Juncus acuminatus,Juncaceae,introduced,1989,voucher,long unseen,-34.081667,151.051111
Juncus bulbosus,Juncaceae,introduced,1975,voucher,long unseen,-34.12,151.13
Juncus effusus,Juncaceae,introduced,1975,voucher,long unseen,-34.08,151.05
Juncus microcephalus,Juncaceae,introduced,1973,voucher,long unseen,-34.1,151.12
Juncus tenuis,Juncaceae,introduced,1975,voucher,long unseen,-34.15,151.03
Lantana camara,Verbenaceae,introduced,1988,iNat,long unseen,-34.10975,151.05923
Lolium arundinaceum,Poaceae,introduced,1987,voucher,long unseen,-34.13,151
Lophostemon confertus,Myrtaceae,introduced,1975,voucher,long unseen,-34.1,151.1
Melianthus major,Francoaceae,introduced,1973,voucher,long unseen,-34.0794,151.1114
Nymphaea nouchali,Nymphaeaceae,introduced,1969,voucher,long unseen,-34.12,151.12
Oxalis purpurea,Oxalidaceae,introduced,1975,voucher,long unseen,-34.08,151.05
Passiflora edulis,Passifloraceae,introduced,1890,voucher,long unseen,-34.22,151
Physalis peruviana,Solanaceae,introduced,1975,voucher,long unseen,-34.07,151.07
Plantago coronopus,Plantaginaceae,introduced,1982,voucher,long unseen,-34.115,151.134444
Polypogon monspeliensis,Poaceae,introduced,1983,voucher,long unseen,-34.115,151.134444
Populus alba,Salicaceae,introduced,1984,voucher,long unseen,-34.081457,151.053947
Ranunculus muricatus,Ranunculaceae,introduced,1965,voucher,long unseen,-34.22,151
Sagina maritima,Caryophyllaceae,introduced,1976,voucher,long unseen,-34.08,151.17
Solanum chenopodioides,Solanaceae,introduced,1972,voucher,long unseen,-34.07,151.07
Sporobolus africanus,Poaceae,introduced,1969,voucher,long unseen,-34.0636457,151.0353513
