species_name,last_recorded,family,sampled_year,curation_tags,taxonomy_issue,location_issue,refindable,record_link,cat_no,record_notes,record_month,record_life_stage,record_coordinates,search_area,my_notes,habitat,habit,key_traits,flowering_months,flowering_months_numeric,inat_flowering_months,fruiting_months,associated_species,search_area_coordinates,similar_species,found,date_searched_mmddyy,month_searched,people_searching,search_capability,time_searched_mins,distance_walked_metres,path_link,life_stage,fertile_material_present,individuals_found,topography,weather,search_notes,other_notes,search_tags,2025_inat_link,coordinates_found,individual_or_multiple_search,linear_or_area_search,associated_species_known,search_again,searched_in_flowering_time,possibly_found_sterile,age_of_sample_years,volunteers_seen_before,minutes_till_found,quadrat_size_m2,abundance_density
Amyema pendula,1888,Loranthaceae,1888,,N,Y,N,https://biocache.ala.org.au/occurrences/d78aa17d-40f4-47dd-bbb5-f911ba3cebae,NSW79533,Waterfall.,9,flowers,,,sadly most of this older records will probably not have specific enough locality to re-find.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,
Grevillea patulifolia,1888,Proteaceae,1888,,N,Y,N,https://biocache.ala.org.au/occurrences/ee9ce92a-7e86-4624-ab03-ab94d01b5e81,NSW664114,Waterfall.,9,flowers,,,"no. was recorded by Mills in 1986 but again terrible locality info. has also been recorded a handful of times just west of the Pacific Highway recently (e.g. 2022). Dont know how much we can trust the ID though, grevillea is a bit messy to ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,
Melicytus dentatus,1888,Violaceae,1888,,N,Y,N,https://biocache.ala.org.au/occurrences/5d21b669-824b-4c5f-83f9-dbc7b1394ab9,NSW519431,Port Hacking.,8,sterile,,,no chance. Also unsure of ID as sample was sterile and no other records from Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,
Lobelia gibbosa,1889,Campanulaceae,1889,,N,Y,N,https://biocache.ala.org.au/occurrences/840a95bf-e0b9-40c1-bca6-c789c1bdb6e9,NSW628454,"[No precise locality given], [Royal] National Park.",11,"flowers, fruits",,,Probably still around. seen in 2022 but no way to tell if it's the same population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,
Austrostipa pubescens,1889,Poaceae,1889,,N,Y,N,https://biocache.ala.org.au/occurrences/e08d920a-3775-4a62-b259-dd4376774e80,NSW8542,[Royal] National Park.,11,,,,Seen on edge of Royal in 2025. also recorded by BioNet Atlas a whole lot this century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,
Hibiscus richardsonii,1890,Malvaceae,1890,,N,Y,N,https://biocache.ala.org.au/occurrences/d2ba2cfa-03bb-4177-ba92-0b87d2d78baf,NSW517668,"Illawarra Road, near Otford.",11,"fruits, seed",,,"I think they are referring to what is now called Old Illawarra Road which is actually in Helensburg. Regardless, not findable and also that location is outside the Royal. Seen a fair bit around Burning Palms and figure 8 pools in the last couple years (e.g.).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,
Stackhousia monogyna,1891,Celastraceae,1891,,N,Y,N,https://biocache.ala.org.au/occurrences/24f4c29e-ebe4-49bb-89f3-e255ae05eb75,NSW645608,Otford.,10,flowers,,,"Interesting that coastally, this is about as far north as it has been recorded (up to Gosford). Does occur further north, but inland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,
Coopernookia barbata,1891,Goodeniaceae,1891,,N,Y,N,https://biocache.ala.org.au/occurrences/70a91bef-1f0d-40e3-8087-0b6143ffcfdb,NSW662928,Otford.,12,"buds, flowers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,
Laxmannia gracilis,1892,Asparagaceae,1892,,N,Y,N,https://biocache.ala.org.au/occurrences/48e04ae5-e5f4-4b50-9f67-21bb00b461ac,NSW599709,"Waterfall, [Royal] National Park.",1,fertile,,,"Probably around, Thomas found in 2025. BioNet Atlas found a few times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,
Cycnogeton rheophilum,1893,Juncaginaceae,1893,,N,Y,N,https://biocache.ala.org.au/occurrences/7dd61afd-ad61-4d08-bb66-6bea99525b05,NSW2691,Port Hacking River.,9,fertile,,,Freshwater aquatic. Not many records at all!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,
